,고객,감정,리뷰
6896,2924.0,좋음,매장 넓고 깨끗합니다
6897,2925.0,좋음,좋아요 깔끔한.매장
6898,2926.0,좋음,제가 좋아하는 스타벅스 갔어요! 자허블 좋아요
6899,2927.0,좋음,편하게 찾을수 있는곳
6900,2928.0,좋음,가끔 들르는 곳이예여 좋아요
6901,2929.0,좋음,점심먹으러 자주 옵니다
6902,2930.0,좋음,드라이브스루로 주문하고 갔는데 직원분이 정말 친절하게 커피 내어주네요
6903,2931.0,좋음,빨리 잘 나옵니다ㅋ
6904,2932.0,나쁨,항상 제주말차라떼 먹는데 다른지점보다 싱거운듯 하더니 제대로 섞지않아 녹차가루 왕덩어리나옴..입떯고쓰고 입맛버리고
6905,2933.0,좋음,항상 잘 이용하는 단골 스벅입니다
6906,2934.0,좋음,기프티콘의 메뉴를 주문했어요 직원 기프티콘대로 드릴까요? 나 네 주문한 메뉴가 나왔어요. 케잌과 아아... ?? 나 주문과 다른대 요? 직원 기프티콘과 동일하게 달라고 해서 그대로 드렸어요. 기프티콘에 아아였습니다 나 그래요? 알겠어요 이상하다. 분명 뜨아 인대.. 케잌은 쇼핑백에 담아주세요 직원이 담는 동안 기프티콘을 다시 확인했다. 뜨아였다. 직원에게 다시 보여주고 뜨아로 교...
6907,2936.0,좋음,직원분들이 항상 친절하시고 4층까지라 오르락 내리락하다보면 자리 하나는 나는 매장 ㅋㅋ
6908,2937.0,좋음,말복에 날 반겨준 카페는 스벅 뿐이었다
6909,2938.0,좋음,친절하다 하지만 사람이 많다
6910,2939.0,좋음,패션용과레모네이드? 이게 다른 매점은 거의 다 품절이었는데 여기만 되서 먹을 수 있었어요!!
6911,2940.0,좋음,친절하고 자리도 넉넉하고 좋아용
6912,2941.0,좋음,루꼴라 샌드위치 맛있어요
6913,2942.0,좋음,바닐라플렛화이트 맛잇어
6914,2943.0,좋음,주차장 있어서 좋아요
6915,2944.0,좋음,달달한 바닐라라떼 너무 맛있게 잘먹고가요!
6916,2945.0,좋음,주말에도 자리가 있어요
6917,2946.0,좋음,디카페인 아메리카노 좋아요
6918,2947.0,좋음,오늘은 응대한직원이 왜이리 까칠한지
6919,2948.0,좋음,직원분들 친절 해요ㅎㅎ 쿠폰 생길때마다 방문하는 곳. 집에서 제일 가까워서 ㅎㅎ
6920,2949.0,좋음,맘편히 오기 좋아요
6921,2950.0,좋음,커피행 넘 좋아요.
6922,2951.0,좋음,너무 시원하고 맛있어요
6923,2952.0,좋음,사람 매번 많은 사당 스벅
6924,2953.0,좋음,맛있고 깔끔한 아메리카노
6925,2954.0,좋음,점심에 붐비는 스타벅스. 사이렌오더도 잘받아요
6926,2955.0,좋음,완전 친절하고 왕맛있어요
6927,2956.0,좋음,다른곳에 비해서 매장이 작은편임
6928,2957.0,좋음,파트너분들 친절하고 너무 좋아용
6929,2958.0,좋음,광화문 넓은 스타벅스
6930,2959.0,나쁨,사회적 거리두기쓰 다 좋은데 직원분이 컵 바깥에 시럽을 뭍혀주셔가지고 허허
6931,2960.0,나쁨,공간이 넓지 않아요
6932,2961.0,좋음,드라이브스루로 편하게 이용했어요
6933,2962.0,좋음,친절합니다 감사합니당
6934,2963.0,나쁨,직원 불친절. . . . .
6935,2964.0,좋음,시나몬롤돌체 라떼 괜찮네요 참달아요
6936,2965.0,좋음,친절해요. 주말 사람 엄청 많아요
6937,2966.0,나쁨,독서실 말그대로 독서실 여기서 말하면 중고딩대딩이 째려봐요 아줌마들은 다른곳가세요
6938,2967.0,좋음,백화점 내에 있는 스타벅스라 쇼핑하다가 중간에 쉬어가기 좋아요 !!
6939,2968.0,좋음,모닝 잉글리시 브랟퍼스트
6940,2969.0,좋음,저녁시간대에 손님들이 마스크를 안해 놀람
6941,2970.0,좋음,공부하러 들렀는데 사람이 많아요.
6942,2971.0,좋음,좋아요 동네 가까이 있어서 자주 이용해요
6943,2972.0,좋음,자리 넓고 좋다. 화장실 상가 건물 내부. 깨끗함
6944,2973.0,좋음,스벅은 왠만해서 다 좋지만 매장커서 좋아용ㅎ
6945,2974.0,좋음,너무 춥긴 했는데 그건 제 사정이고 넓고 친절했어요
6946,2975.0,나쁨,지하에서 하수구 냄새 남 지들도 알고 있으면서 개선할 의지가 없음
6947,2976.0,좋음,비오는 날. 많이 바쁜 와중에도 친절한 직원들이 인상적
6948,2977.0,좋음,샌드위치 늘 신선해요
6949,2978.0,좋음,스타벅스는 언제나 잃다
6950,2979.0,좋음,생긴 지 얼마 안 돼서 깔끔
6951,2980.0,좋음,커피 많이 먹은날 카페인없이 먹기좋음
6952,2981.0,보통,직원분이 친절하지 않아요 ㅠ 커피는 맛있습니다
6953,2982.0,좋음,리저브 추천해주셔서 맛있는 커피 마셨습니다.
6954,2983.0,좋음,디카페인 커피중에 젤 맛있었어요 최고 직원분들은 친절하신 분도있고 아닌분도 있지만 대채적으로 친절해요
6955,2984.0,좋음,두유 카페라떼 맛났음 근데 좌석좀 바꾸자 키 2미터 되야편할듯
6956,2985.0,좋음,지하라서 색다르네요.
6957,2986.0,좋음,언제 와도 좋은 곳이다.
6958,2987.0,좋음,자주이용합니다 위치도 좋고 깔끔해서 좋아요
6959,2988.0,좋음,맛나요!!!!!!!!
6960,2989.0,좋음,이태원 근처에 있는 스타벅스 중 가장 조용하고 깔끔한 곳
6961,2990.0,좋음,"자몽허니블랙티, 라임패션티는 언제나 굳굳"
6962,2991.0,좋음,샌드위치에 스콘 종류도 많음! 역시 아아
6963,2992.0,나쁨,매장 전화번호가 없어요ㅔ
6964,2993.0,좋음,계산하는 직원 친절하세요.
6965,2994.0,좋음,리저브 담당 직원 서비스 마인드도 응대도 개판
6966,2995.0,좋음,카운터 직원분 엄청 친절하시네요
6967,2996.0,좋음,사람너무 많더라구요
6968,2997.0,좋음,아침 일찍 가서 그릭요거트를 사며 이것 저것 물어봤는데 직원분이 너무 친절하게 알려주셔서 감사했습니다. 이 근처에 스벅은 많지만 여길 자주 이용해야겠어요
6969,2998.0,좋음,언제 가도 편안한 곳. 요즘은 스벅이 더 저렴하네요
6970,2999.0,좋음,맛있고 친절하고 좋아요!
6971,3000.0,좋음,친구집 방문하면서 아이가 좋아할 케이크랑 이거저거 사감. 복합결제가 가능해서 저렴하게 구입.
6972,3001.0,좋음,"헤이즐럿오트밀쇼콜라 맛있어요. 달지 않은데 초콜릿 맛이고, 부드러워요"
6973,3002.0,좋음,친절하시고 매장도 깔끔해서 좋아요
6974,3003.0,좋음,아침에 잠깨려고 자주 이용
6975,3004.0,좋음,회사근처라 자주가네요 좋아요
6976,3005.0,좋음,일하는데서 가까워서 자주간다
6977,3006.0,좋음,이층에 위치한 스타벅스입니다
6978,3007.0,나쁨,너무너무 불친절합니다. 직원이 식은 음료 다시 만들어준다는데 점장이 뛰쳐나와 손사레치며 안된다고 소리지르는 최악의 매장. 영 하의 날씨에 미지근한 음료 들려보내면서 돈버는 곳!
6979,3008.0,좋음,스타벅스 초짜라서 카드 등록 어떻게 하는 줄 몰라서 직원분께 여쭤봤더니 세상친절하시고 미소까지 아름다웠습니다 신당동 스타벅스의 꽃...
6980,3009.0,좋음,맛있어요 그런데 항상 케익이 없어요
6981,3010.0,좋음,좋아요 굿굿굿입니당
6982,3011.0,보통,약간의 인공조미료같은 맛이 나서 살짝 놀랬지만 먹다보면 중독되는 맛이다...
6983,3012.0,좋음,스벅기프티콘사용하러감
6984,3013.0,좋음,이름 긴 커피 처음 마셔 본 곳
6985,3014.0,좋음,오렌지 플로터 맛있어요!ㅎㅎ
6986,3015.0,보통,"공부하는 사람이 많아 조용한데, 수다떨기는 눈치보여요"
6987,3016.0,나쁨,아이스 아메리카노가 다른매장에 비해서 향이 없고 많이 쓰네요... 차이가 좀 많이나네요
6988,3017.0,좋음,"애플망고 요거트 짱,,0"
6989,3018.0,좋음,아메리카노 탄맛 안 나게 내려주시네요
6990,3019.0,좋음,적절한 위치와 최근에 리노베이션 한 매장의 공간이 좋습니다.
6991,3020.0,좋음,빵 종류도 많규 친절함!!
6992,3021.0,좋음,오전에는 매장이 여유로워서 좋습니다
6993,3022.0,좋음,케잌들 넘 맛있었습니다
6994,3023.0,좋음,넓직하고 분위기좋아요
6995,3024.0,좋음,쿨라임 피지오 맛있어요
6996,3025.0,좋음,슈크림라떼 온고잉 해주세요
6997,3026.0,나쁨,항상 사람이 많아서 자리가 많진 않음
6998,3027.0,좋음,조용하고 얘기하기 좋아요
6999,3028.0,좋음,사람이 항상 많지만 창가자리좋아요
7000,3029.0,좋음,휴일에도 여전히 사람이 많네요.
7001,3030.0,좋음,친절하고 맛있어요ㅎ헤
7002,3031.0,나쁨,좁아요. 화장실 이용도 불편해요
7003,3032.0,좋음,달콤상큼하고 시원해서 여름에즐겨 먹기좋아요
7004,3033.0,나쁨,고속터미널 같은 붐비는 지점도 아닌데 사이렌 오더로 주문해도 더 늦게 나오고 매장에서 다 못마시고 나올거 같아서 일회용컵에 주 문한건데 지하철 시간에 맞춰 나가려고 잠깐 앉아있던건데 10분을 앉아있었어 20분을 앉아있었어??????!!! 그거 마져도 쫒아내네요 뭐 이런 황당한 경우가 있는지 다른 매장은 그런말도 없던데 유난이네요
7005,3034.0,좋음,지하매장보다 덜 붐벼서 좋아요
7006,3035.0,좋음,깨끗하고 친절함. 사람이 많아도 시끄럽지 않아서 좋았음
7007,3036.0,좋음,사람이 항상 많음 자리가없음
7008,3037.0,좋음,옆에 투썸생겨서 사람젓어짐 ㅠ
7009,3038.0,좋음,와플칩프라푸치노맛있어요
7010,3039.0,좋음,역쉬 추울때는 따뜻한 커피 ㅋㅋ
7011,3040.0,좋음,세상에 있는 온갖 마실 꺼리 하나씩 도전!
7012,3041.0,좋음,여기 사람 많이 없어서 좋아요
7013,3042.0,좋음,맛있어용!! 친절하세용!!
7014,3043.0,좋음,직원이 친절해서 좋아요
7015,3044.0,보통,친절.깔끔. 허나 자리가없음ㅠ
7016,3045.0,좋음,편안하고 분위기 좋아요
7017,3046.0,좋음,엄청 친절해요 다른곳보다
7018,3047.0,좋음,장소 넓고 사람 엄청많아요
7019,3048.0,좋음,친절한 종업원과 맛있는 케이크 그리고 커피
7020,3049.0,좋음,자리도 널널하고 직원분들께서 너무 친절하십니다
7021,3050.0,좋음,맛있어요 근데 2층인데 2층에 앉아본적이 아직 없어요 사람 너무 많아요 ㅠㅠ
7022,3051.0,좋음,테라스가 잘되있어요 넓고 좋아요!
7023,3052.0,좋음,자리도 많고 친절해요
7024,3053.0,좋음,스벅리저브 맛나요ㅠb
7025,3054.0,좋음,커피 맛집 압구정로데오역 근처
7026,3055.0,좋음,빨리나오고 맛있습니다
7027,3056.0,보통,어느 정도 보통 수준의 카페
7028,3057.0,좋음,이것이 치즈케이크 데스
7029,3058.0,나쁨,"사람너무많네요, , 친구만나러온건데 다신 안오고싶은 곳 ㅠㅠ"
7030,3059.0,좋음,조아요 아이스돌체라떼
7031,3060.0,좋음,질리지 않는 캐모마일 릴렉서
7032,3061.0,좋음,지하철역 바로 앞에 있어서 좋아요.
7033,3062.0,좋음,좋아했는데 좋아했는데 좋아여
7034,3063.0,좋음,새해 신메뉴 음료 맛있게 먹었어요.
7035,3064.0,좋음,갔는데 아무도 없어서 너무 좋았어요
7036,3065.0,좋음,직원분 완전 친절해요
7037,3066.0,보통,스벅 역시 브랜드 값이 ㅠㅠ 자리가 좁아서 아쉽긴했지만 시그니쳐초코는 맛있었어요
7038,3067.0,보통,친절하고 좋음. 사람은 언제나 많아서 좀 시끄러운편
7039,3068.0,좋음,리저브 쪽 직원 완전 친절
7040,3069.0,좋음,좋아요. 공부하기에도 좋고 넓어요!
7041,3070.0,좋음,기프티콘 쓰러 갔다가 케이크가 없어서 다른 걸로 바꿔먹었는데 맛있었어요
7042,3071.0,좋음,매장이 넓고 쾌적해요. 파트너 분들도 친절하시구요
7043,3072.0,좋음,깨끗하고 친절하고 사회적거리두기로 테이블 일부 미사용중이네요.
7044,3073.0,좋음,스벅은 역시 입니다.
7045,3074.0,좋음,바나나 정말 맛있었습니다
7046,3075.0,나쁨,가끔 가는데 처음본 서버분이 친절하시지 않으세요ㅠㅠ
7047,3076.0,좋음,스타벅스 사당역 앞
7048,3077.0,좋음,시끌벅쩍 점심시간이라서 그런가봐용
7049,3078.0,좋음,가끔은 라떼도 좋아요
7050,3079.0,나쁨,공간이 좁은 편이에요
7051,3080.0,좋음,역시나 깨끗하고 친절해요! 프리퀀시도 모을겸 갔는데요 서비스도 만족스럽습니다!
7052,3081.0,좋음,스콘이 따뜻하고 맛있네요
7053,3082.0,나쁨,화장실 한개뿐이라 별로임
7054,3083.0,보통,맨날와요 맛있어요 마감 빠른건 싫어요
7055,3084.0,좋음,스타벅스 맛있어요!
7056,3085.0,좋음,폴더블백 블랙 겟!!! ㅋㅋㅋㅋㅋ
7057,3086.0,좋음,자리도 2층으로 넓고 좋아요! 장애인 바리스타님도 안내 너무 친절하게 잘 해주시고 이렇게 장애인 분들도 일하시는 환경 너무 보기 좋았습니다! 다만 음료 제조가 조금 느린 것 같은 기분이에요..! 주문이 많은 지점인지 사이렌오더로 하고 와도 항상 기다리게 되더라고요 ㅠㅠ 그치만 가로수길 중에서는 여기가 제일 좋은 것 같아요
7058,3087.0,좋음,사람이 많이 없어서 좋습니다
7059,3088.0,좋음,장소가 너무 좋아요 예쁩니다
7060,3089.0,좋음,말모말모 짱좋아요ㅎ
7061,3090.0,좋음,스타벅스는 언제나 맛있구요 슈크림 라떼가 맛있습니다
7062,3091.0,좋음,민트티가 다 떨어져서 녹차티마셨어요
7063,3092.0,좋음,넓고 편해서 좋아요.
7064,3093.0,좋음,"넓고 쾌적한 실내와 아주 친절한 파트너들이 있습니다. 소파 좌석도 많고, 공부할 수 있는 테이블도 여럿 있습니다. 당일 영수증 제시하면 입주건물에 주차 2시간 무료 가능해요"
7065,3094.0,좋음,파트너분들도 친절하고 다 좋았는데 가디 지점은 항상 자리가 애매한 거 같아요ㅠㅠ
7066,3095.0,좋음,좋아요 자주 방문합니다
7067,3096.0,나쁨,매장이 작은편 입니다.
7068,3097.0,좋음,추억팔이잼 넘 좋다ㅜㅜㅜ 학부생들은 방학 중이라 그런가 코로난지 더 쾌적 ㅠㅠㅠ 넘흐조하 홀더에 내 꿈을 응원한대서 더 뭉클
7069,3098.0,좋음,친절하고 좋은데 좀 시끄러운 경향이 있긴해요
7070,3099.0,좋음,스벅 기프티카드 선물용으로 역시 좋은 것 같아용
7071,3100.0,좋음,조용하고 이곳 방문객들이 점잖아서 시끄럽지 않아요 예술의 전당 갈때 애용해요
7072,3101.0,좋음,남부터미널 근처에 있어요
7073,3102.0,좋음,만족합니다 새로 생겨서 시설이 깨끗하고 직원분들도 친절해요!!
7074,3104.0,좋음,매장 정리도 청결함
7075,3106.0,좋음,블론드 아메리카노 좋아요.
7076,3107.0,좋음,스타벅스는 내가 자주 갑니다
7077,3108.0,좋음,파트너분들 진짜진짜 친절하시고 매장도 깔끔하고 너무 좋아요!!! 제가 가본 스벅 매장중에 최고예요
7078,3109.0,좋음,스타벅스타사브거스토
7079,3110.0,좋음,여기는 항상 사람이많아용 직원분 친절하시고 커피도 맛나용
7080,3111.0,좋음,케익도 너무 예쁘고 직원도 친절하고 매장도 크고 쾌적합니다.
7081,3112.0,좋음,효창에 생겨서 좋아요 !
7082,3113.0,좋음,코로나 관련 안전 수칙들 잘 확인 하는 것 같아요. 음료 바닐라라떼
7083,3114.0,나쁨,넘 불친절해요 특히 숏컷머리 여직원? 프리퀀시랑 별적립 잘 모르시면서 아니라고 우기시는데 결국 옆 직원분이 맞다고 제대로 처리해주셨어요. 그리고 4명가면 2명 2명 떨어져앉아야한다는거.....
7084,3115.0,좋음,텀블러 샀는데 직원이 친절히 설명해주셔서 좋았어요
7085,3116.0,나쁨,콘센트 자리가 많이 없어 아쉬웠어요..
7086,3117.0,좋음,역 입구와 가까워서 좋아요
7087,3118.0,좋음,애망요거트 너무 맛있어요
7088,3119.0,좋음,넓고 깨끗해요. 커피도 맛있어용
7089,3120.0,좋음,깨끗하고 좋았습니다. 텀블러 구매도 문의하였는데 친절히 잘 해주셔서 감사합니다.
7090,3121.0,좋음,장점은 3층짜리 건물이라 뷰가 좋고 버스정류장과 가까워 뚜벅이가 이용하기 좋습니다. 드라이브 쓰루도 가능해서 사이렌오더로 주 문해놓으면 차량으로 이동시 이용하기 편리합니다. 단점으로는 아메리카노를 주로 마시는데 가끔 탄맛이 날때가 있어요
7091,3122.0,좋음,샌드위치맛나용널찍하고요
7092,3123.0,보통,사람많지만 젛아요ㅇㅇ
7093,3124.0,좋음,아침시간 들르기 좋아요
7094,3125.0,나쁨,"처음와봤는데, 사람이 많아서 좀 시끄러웠어요!"
7095,3126.0,좋음,코로나대응 완벽하시네요
7096,3127.0,좋음,직원분들이 친절하세요 특히 주문 받으시는 직원분 정말 친절하세용
7097,3128.0,좋음,친절하고 매장이 넓직해서 좋아요
7098,3129.0,좋음,요거트 많이사는데 친절해서 좋아요
7099,3130.0,좋음,조용하고 매장도 넓어서 좋아요
7100,3131.0,좋음,항상 오는 스타벅스 좋아용
7101,3132.0,좋음,공간도 좋구 맛있엇어요
7102,3133.0,좋음,점심시간 사람 너무 많음
7103,3134.0,좋음,맛있어요. 잠이 깨요. 직원들이 친절해요.
7104,3135.0,좋음,역앞에있어서 좋아요
7105,3136.0,보통,아이스슈크림라떼! 톨사이즈에 샷 추가하니 딱 적당한 단맛 디카페인 가능해서 넘 좋음 다만 목동현대점은 자리가 항상 없음
7106,3137.0,좋음,롯데시네마와 같은 건물이라서 사람들은 늘 붐벼요. 가양역 근처에 있는 스타벅스!_! 영화보기 전에 사이렌오더 하면 짱 좋아요
7107,3138.0,좋음,리저브 매장이라 조금은 특별하지만 늘 사람이 많아요
7108,3139.0,좋음,너무너무 친절하세요
7109,3140.0,좋음,사람이많긴해요 디카페인잇어서 좋아요
7110,3141.0,나쁨,주말에 가니 앉을 자리는 하늘의 별따기 주문 줄도 어마어마 어마어마
7111,3142.0,좋음,오늘의 커피 맛있어요 !
7112,3143.0,좋음,매장이 넓어서 친구들과 커피 마시기 좋았습니다.
7113,3144.0,좋음,직원분들 친절. 건대앞이라 공부하는 학생들이 많아서 비교적 조용한듯
7114,3145.0,좋음,명동스타벅스에서 텀블러구매했어요
7115,3146.0,좋음,깨끗하고 시원하고 친절합니다
7116,3147.0,좋음,자리 넓고 쾌적하고 좋아요
7117,3148.0,좋음,스벅은 언제나 옳죠 ㅎㅎㅎ
7118,3149.0,좋음,굳굳굳좋아요 아주좋아여 ㅋ.ㅋ
7119,3150.0,좋음,올해 본 직원들 중 가장 친절함ㅋㅋ 내가 가봄 스벅 중 제일 친절 ㅋㅋ 어떻게 한 명도 안빼고 이렇게 다 친절할 수 있을까 의문이 드는 매장. 덕분에 기분 좋아졌어용
7120,3151.0,나쁨,휘핑 보통 주문인데 너무 창렬이에요. 칼바람 뚫고사왔는데 실망
7121,3152.0,좋음,드라이브스루 처음 이용이었는데 모바일상품권으로도 친절하게 결제해주셔서 감사합니다!
7122,3153.0,좋음,딸기라떼 맛있어요!
7123,3154.0,좋음,가까워서 종종 이용하는 스벅
7124,3155.0,좋음,스타벅스 좋아요 직원들도 친절하시구
7125,3156.0,좋음,감따합니다 맛있어여
7126,3157.0,좋음,사람 많지만 깔끔하고 넓은매장 이층도 좌석 많고 메뉴 빠르게 나옴. 직원들도 친절하당
7127,3158.0,좋음,커피가 빠르게 나와서 좋아요
7128,3159.0,좋음,친절해요 친절해요 편해요
7129,3160.0,나쁨,케이크에서 머리카락이 나왔어요
7130,3161.0,좋음,여행갈 때 자주 가요
7131,3162.0,좋음,아메리카노 쿠폰으로 케이크도 교환이 되니까 넘 좋아요
7132,3163.0,좋음,좋아요 아침에 빨리나와서 자주들려요
7133,3164.0,좋음,매일 커피만 마시다 카운터에 너무 이뻐보여 구매!! 쌉싸름한 초코가 맛있네요
7134,3165.0,보통,그냥 그래요 늘 가는 곳이라 갔었음
7135,3166.0,나쁨,바쁜 점심시간이라 착각할 수도 있지만 아포가토 포장해달라고 했고 직원도 다시 물어봐서 포장이라고 말했는데도 결국 카페 잔에 담음 포장해달라고 재차 얘기하니 컵에 확 쏟고 뚜껑도 안 덮길래 뚜껑달라니 똥씹고 썩은 표정 ... 진심 미쳤나봄
7136,3167.0,좋음,친절합니다. 잘 먹었습니다.
7137,3168.0,좋음,사람이 너무 많지만 친절함
7138,3169.0,좋음,커피는 역시 스벅이죠! 하지만 전 커피를 마시지못해요.. 단 한 방울도... 됴륵
7139,3170.0,좋음,굿 깔끔한 매장 맛있는 커피
7140,3171.0,좋음,깨끗해요. 환기도 2시간마다 한다고 써있더라구요 문이 활짝열려있어서 뭔가 싶었더니..
7141,3172.0,좋음,좋은 모임 장소예요
7142,3173.0,좋음,바닐라라떼 달고 맛있어요 . ㅎㅎ!!!!
7143,3174.0,좋음,깔끔하고 내부도 넓은 편. 창가에 앉아 영동대로 지나다니는 자동차 보고 있으면 재밌음. ㅋ
7144,3175.0,좋음,디카페인도 맛있네용
7145,3176.0,좋음,이벤트행사중 넘 좋아요
7146,3177.0,좋음,넘나친절하심 미소에 그냥 기분 좋아!
7147,3178.0,나쁨,사회적 거리두기로 테이블은 없는데 사람은 많아요...
7148,3179.0,좋음,돌체라떼는 사랑입니다
7149,3180.0,좋음,믿고 먹는 스타벅스 아메리카노
7150,3181.0,좋음,스티커 모으기위해 스벅!
7151,3182.0,좋음,아아는 스벅ㅎㅎ 굳!
7152,3183.0,좋음,망고바나나 존맛이요....진짜존맛...
7153,3184.0,좋음,맛있게 잘 먹었습니다
7154,3185.0,보통,"리저브 매장이고, 생긴지 얼마 안되서 더 깔끔한 것 같습니다. 다만 주변에 직장인들이 많아서 점심시간에 대기 시간이 많습니다ㅠ 물론 근처 스타벅스도 다 그렇지만요..."
7155,3186.0,보통,소란스러지만 좋아요
7156,3187.0,좋음,직원분들의 친절한 응대에 기분이 좋아졌어요. 그리고 매장도 생각보다 넓어요
7157,3188.0,좋음,매장도 크고 호수보면서 커피마실 수 있어 좋아요.
7158,3189.0,좋음,넓고 조용하고 좋아요
7159,3190.0,좋음,오랜만에 앉아서 먹으니까 너무 좋네요ㅠㅠ 그런데 이렇게 마시게 배려해줘도 여전히 마스크 안쓰고 떠드는 인간들이 많네요 어휴
7160,3191.0,좋음,항상 친절해서 조아요
7161,3192.0,좋음,제주유기농말차라떼 녹차 덩어리가 잘 안풀어졌어요ㅠ 마실때마다 자꾸 걸리네요. . 이런적은 처음
7162,3193.0,좋음,찬절하고 좋앗습니당
7163,3194.0,좋음,우리 딸이 대학생때 알바한 업체라 그런지 낯설지않은 커피샾인데 동네에 오픈했다니 이제 한번 가볼까 합니다. 6학년인데 가도되지요? 이번주에
7164,3195.0,좋음,점심인데도 사람많이붐비지 않고 좋아요
7165,3196.0,좋음,아침 매니저분 친절해서 좋았어요
7166,3197.0,좋음,리뉴얼하면서 콘센트를 다 없앴나봐요
7167,3198.0,좋음,맛있어요 조용하고 좋아요
7168,3199.0,좋음,맛있습니다. 신제품 슈크림 라떼도 달달하니 맛있네요 ㅎㅎ
7169,3200.0,좋음,좋아요! 명물거리점 위층으로 가면 조용해요
7170,3201.0,좋음,직원들은 친절하지만 물 한 병 안 사먹고 그냥 앉아있는 노인들이 매우 많다.
7171,3202.0,좋음,매장도 넓고 좋았습니다
7172,3203.0,좋음,거리두기 테이블 간격도 있고 관리 잘디어 있네요
7173,3204.0,좋음,엘베있어서좋아요 ㅎㅎ 여기도 항상 사람 많아요 ㅠ
7174,3205.0,좋음,오전에 오니 널널해요 직원 친절하고 좋음
7175,3206.0,좋음,스타벅스가 스카벅스지
7176,3207.0,좋음,바닐라프라푸치노 너무 맛있어요!!!
7177,3208.0,좋음,"소파좌석 1,2층 다 두고 코드가 하나도 없음...."
7178,3209.0,좋음,장사 잘 되는 망원동의 스타벅스. 더블크림은 아이스가 나은거 같아요
7179,3210.0,보통,음료는 좋았지만 카운터 보는 직원이 살짝 불친절했습니다...그거 말고 다 좋아요
7180,3211.0,나쁨,방문하는 사람이 많아 자리가 항상 만석임
7181,3212.0,좋음,뷰가 좋고 좋았어요
7182,3213.0,좋음,조용히 커피 한 잔 하기 좋은 가게입니다.
7183,3214.0,나쁨,약간 소란한 분위기
7184,3215.0,나쁨,메뉴를 사도 앉을데가 없어요.
7185,3216.0,보통,대로변 근처 스타벅스 매장이어서 손님이 많다. 모카커피는 달달한게 맛있다. 직원들이 상냥하고 일회용품같은 것은 규정대로 처리하는듯.
7186,3217.0,좋음,규모는 크지 않지만 아늑해요.
7187,3218.0,좋음,"방문인증, 테이크아웃"
7188,3219.0,좋음,음료 맛잇어요 2층 있어서 좋아요
7189,3220.0,좋음,스타벅스 상봉점 아메리카노가 근처 스벅중에 제일 맛있어요
7190,3221.0,좋음,역주변스벅 두갠데 여기 스벅이 넓고 좋아요. ㅎ
7191,3222.0,좋음,성신여대 근처에 있는 스타벅스
7192,3223.0,좋음,넓고쾌적해요..엄청넓네요
7193,3224.0,보통,좋아여 ㅎㅎ 근데좀 의자 뷸푠해요 ㅠㅠ
7194,3225.0,좋음,커피 리얼 맛있네요 많은 스타벅스에 가봤지만 여기가 아메리카노 맛집
7195,3226.0,좋음,달달한 조각케익 항상 맛나게 먹어요!
7196,3227.0,좋음,넓은데 사람이 좀 많아요
7197,3228.0,좋음,강남답게 사람이 만더
7198,3229.0,좋음,맛있는 음식을 먹고 싶다면 꼭 한번 가보세요
7199,3230.0,보통,다 좋은데.엄청 시끄럽다. 종원원 목소리도 너무 커서 듣기가...
7200,3231.0,좋음,믿고먹는 스타벅스 아침에 주문량이 많았는데 빠르게 잘 챙겨주셨어요
7201,3232.0,좋음,디큐브스벅디큐브스벅좋아좋아
7202,3233.0,보통,괜찮아요 나쁘지 않습니다
7203,3234.0,좋음,조용하고 깔끔하니 좋았습니다.
7204,3235.0,나쁨,흠 다른 스타벅스에 비해 별로예요 커피에 얼음은 적고 물바다 ㅜㅜ
7205,3236.0,좋음,색감이쁜 미드나잇 콜드브루!! 마싯 달달합니다
7206,3237.0,좋음,위층 분위기가 좋았어요
7207,3238.0,좋음,친절합니다. 공간도 맘에 들어요 구디에서 제일 큰듯 합니다
7208,3239.0,좋음,자주가는 매장이예요 슈크림라떼 맛있어요
7209,3240.0,좋음,매장이 넓고 좋아요!!!
7210,3241.0,나쁨,프리퀀시 교환막바지라 사람이 너무 많네요
7211,3242.0,보통,커피맛이 왔다갔다 하는게 아쉬워요
7212,3243.0,좋음,"편하고 좋은 매장이에요,"
7213,3244.0,좋음,피치젤리티 맛있어요
7214,3245.0,좋음,특이하게 2층에 바도 있네요
7215,3246.0,좋음,메세나폴리스에 스벅이 두군데 있는데 여기는 리저브고 더 넓어요 편하게 앉아있기 좋아요! 주차 지하에 가능합니다!
7216,3247.0,좋음,자주이용하는곳입니다. 친절하고 커피맛 좋아요.
7217,3248.0,좋음,주말엔 거의 매일 방문이네요 커피맛도 좋고 공부하기에도 좋아요
7218,3249.0,좋음,쾌적하고 2층도 있어서 좋아요
7219,3250.0,좋음,맛있고 굿!!!!!!!
7220,3251.0,좋음,코로나 때문에 한산하구 천장도 높아서 좋아요
7221,3252.0,나쁨,스타벅스 이미지가 숭실대점으로 인해 모두 무너짐. 좁디좁은 레이아웃. 씁쓸하더군.
7222,3253.0,좋음,스따벅스명불허전다들친절해요
7223,3254.0,좋음,"파트너들 고객 응대 진짜 개선이 필요함 불친절은 기본,"
7224,3255.0,좋음,캐모마일릴렉서 개꿀맛이욤
7225,3256.0,좋음,직원응대가 적극적이었고 친절했습니다
7226,3257.0,나쁨,주말에는 자리가 없네여
7227,3258.0,좋음,자리 여유있어 좋음 레몬진저티
